"","Var1","Freq"
"147","BRAF",4
"148","BRCA1",0
"149","BRCA2",0
"150","BRCC3",0
"151","BRD2",0
"152","BRD3",0
"153","BRD4",0
"154","BRDT",0
"155","BRF2",0
"156","BRIP1",0
"157","BRSK1",1
"158","BRSK2",1
"159","BTG1",0
"160","BTK",0
"161","BTRC",0
"162","BUB1",0
"163","BUB1B",0
"164","C11orf65",0
"165","C15orf2",0
"166","C15orf21",0
"167","C15orf55",0
"168","C17orf37",0
"169","C1orf86",0
"170","C3orf24",0
"171","C6orf97",0
"172","C9orf96",0
"173","CABC1",0
"174","CACNA1F",0
"175","CACNB2",0
"176","CAD",0
"177","CAMK1",0
"178","CAMK1D",1
"179","CAMK1G",0
"180","CAMK2A",0
"181","CAMK2B",0
"182","CAMK2D",0
"183","CAMK2G",0
"184","CAMK4",1
"185","CAMKK1",0
"186","CAMKK2",0
"187","CAMKV",0
"188","CARD10",0
"189","CARD11",0
"190","CARD14",0
"191","CARD9",0
"192","CARS",0
"193","CASC5",0
"194","CASK",0
"195","CASP1",0
"196","CASP10",0
"197","CASP2",0
"198","CASP3",0
"199","CASP4",0
"200","CASP6",0
"201","CASP7",0
"202","CASP8",0
"203","CASP9",0
"204","CATSPERB",0
"205","CBFA2T3",0
"206","CBFB",0
"207","CBL",0
"208","CCDC50",0
"209","CCDC56",0
"210","CCDC6",0
"211","CCL3",0
"212","CCL4",0
"213","CCL5",0
"214","CCNA1",0
"215","CCNA2",0
"216","CCNB1",0
"217","CCNB1IP1",0
"218","CCND1",0
"219","CCND2",0
"220","CCND3",0
"221","CCNE1",0
"222","CCNG1",0
"223","CCNT1",0
"224","CCR1",0
"225","CCR4",0
"226","CCR5",0
"227","CCR6",0
"228","CD160",0
"229","CD40",0
"230","CD40LG",0
"231","CD44",0
"232","CD79A",0
"233","CD79B",0
"234","CDC25A",0
"235","CDC25C",0
"236","CDC34",0
"237","CDC42",0
"238","CDC42BPA",0
"239","CDC42BPB",1
"240","CDC42BPG",0
"241","CDC5L",0
"242","CDC7",0
"243","CDC73",0
"244","CDH1",0
"245","CDH11",0
"246","CDH2",0
"247","CDH3",0
"248","CDK1",0
"249","CDK10",1
"250","CDK11A",0
"251","CDK11B",0
"252","CDK12",0
"253","CDK13",1
"254","CDK14",0
"255","CDK15",0
"256","CDK16",0
"257","CDK17",1
"258","CDK18",1
"259","CDK19",0
"260","CDK2",0
"261","CDK20",1
"262","CDK3",0
"263","CDK4",1
"264","CDK5",0
"265","CDK6",1
"266","CDK7",0
"267","CDK8",3
"268","CDK9",0
"269","CDKL1",0
"270","CDKL2",1
"271","CDKL3",0
"272","CDKL4",1
"273","CDKL5",0
"274","CDKN1A",0
"275","CDKN1B",0
"276","CDKN2A",0
"277","CDKN2B",0
"278","CDKN2C",0
"279","CDKN2D",0
"280","CDX2",0
"281","CEBPA",0
"282","CEP110",0
"283","CFI",0
"284","CHD1",0
"285","CHD5",0
"286","CHD8",0
"287","CHD9",0
"288","CHEK1",0
"289","CHEK2",3
"290","CHIC2",0
"291","CHL1",0
"292","CHN1",0
"293","CHRNA3",0
"294","CHRNA5",0
"295","CHRNB4",0
"296","CHUK",0
"297","CIC",0
"298","CIITA",0
"299","CIT",1
"300","CLK1",0
"301","CLK2",1
"302","CLK3",0
