"","Var1","Freq"
"147","GRK5",1
"148","GRK6",1
"149","GRK7",4
"150","GSK3A",3
"151","GSK3B",5
"152","HCK",4
"153","HIPK1",1
"154","HIPK2",0
"155","HIPK3",1
"156","HIPK4",4
"157","HUNK",0
"158","ICK",0
"159","IGF1R",0
"160","IKBKB",1
"161","IKBKE",2
"162","INSR",1
"163","INSRR",1
"164","IRAK1",1
"165","IRAK3",1
"166","IRAK4",0
"167","ITK",0
"168","JAK1",2
"169","JAK2",1
"170","JAK3",3
"171","KALRN",0
"172","KDR",1
"173","KIAA1804",4
"174","KIT",0
"175","LATS1",2
"176","LATS2",2
"177","LCK",0
"178","LIMK1",2
"179","LIMK2",1
"180","LMTK2",0
"181","LMTK3",0
"182","LRRK1",1
"183","LRRK2",2
"184","LTK",1
"185","LYN",3
"186","MAK",1
"187","MAP2K1",0
"188","MAP2K2",0
"189","MAP2K3",1
"190","MAP2K4",5
"191","MAP2K5",4
"192","MAP2K6",1
"193","MAP2K7",9
"194","MAP3K1",2
"195","MAP3K10",2
"196","MAP3K11",0
"197","MAP3K12",0
"198","MAP3K13",2
"199","MAP3K14",0
"200","MAP3K15",2
"201","MAP3K19",0
"202","MAP3K2",1
"203","MAP3K3",0
"204","MAP3K4",3
"205","MAP3K5",0
"206","MAP3K6",0
"207","MAP3K7",3
"208","MAP3K8",2
"209","MAP3K9",1
"210","MAP4K1",1
"211","MAP4K2",1
"212","MAP4K3",1
"213","MAP4K4",4
"214","MAP4K5",1
"215","MAPK1",2
"216","MAPK10",2
"217","MAPK11",1
"218","MAPK12",0
"219","MAPK13",0
"220","MAPK14",1
"221","MAPK15",1
"222","MAPK3",0
"223","MAPK4",3
"224","MAPK6",0
"225","MAPK7",3
"226","MAPK8",2
"227","MAPK9",4
"228","MAPKAPK2",1
"229","MAPKAPK3",3
"230","MAPKAPK5",1
"231","MARK1",0
"232","MARK2",1
"233","MARK3",0
"234","MARK4",0
"235","MAST1",0
"236","MAST2",2
"237","MAST3",2
"238","MAST4",1
"239","MASTL",0
"240","MATK",1
"241","MELK",0
"242","MERTK",6
"243","MET",1
"244","MINK1",2
"245","MKNK1",0
"246","MKNK2",0
"247","MOK",2
"248","MOS",1
"249","MST1R",0
"250","MTOR",0
"251","MUSK",2
"252","MYLK",1
"253","MYLK2",0
"254","MYLK3",0
"255","MYLK4",2
"256","MYO3A",7
"257","MYO3B",0
"258","NEK1",1
"259","NEK10",1
"260","NEK11",1
"261","NEK2",1
"262","NEK3",0
"263","NEK4",0
"264","NEK5",3
"265","NEK6",2
"266","NEK7",0
"267","NEK8",1
"268","NEK9",2
"269","NIM1K",0
"270","NLK",1
"271","NRK",1
"272","NTRK1",6
"273","NTRK2",2
"274","NTRK3",2
"275","NUAK1",1
"276","NUAK2",0
"277","OBSCN",0
"278","OXSR1",0
"279","PAK1",1
"280","PAK2",0
"281","PAK3",3
"282","PAK4",1
"283","PAK6",0
"284","PAK7",3
"285","PASK",5
"286","PBK",0
"287","PDGFRA",1
"288","PDGFRB",0
"289","PDIK1L",1
"290","PDPK1",0
"291","PHKG1",2
"292","PHKG2",3
"293","PIK3R4",2
"294","PIM1",0
"295","PIM2",0
"296","PIM3",0
"297","PINK1",3
"298","PKDCC",0
"299","PKMYT1",0
"300","PKN1",0
